?b isMarriedTo ?a,?a isMarriedTo ?b
?a isCitizenOf ?c   Masada_(miniseries) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Rock-a-Doodle isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Trail_of_the_Pink_Panther isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Death_at_a_Funeral_(2007_film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   The_Bourne_Supremacy_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Boiling_Point_(1993_film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   New_in_Town isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   In_the_Name_of_the_King isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Made_of_Honor isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   The_Disappearance_of_Garcia_Lorca isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Nexon_Co._Ltd. isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Bridge_to_Terabithia_(2007_film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   The_Duchess_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Dragonfly_(2002_film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Orphan_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Four_Days_in_September isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Thunderbirds_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Lost_Highway_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Bandidas isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Bean_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Seven_Years_in_Tibet_(1997_film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Hatillo isLocatedIn _Puerto_Rico,?a hasGender male
?a isCitizenOf ?c   The_Guilty_(2000_film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Fight_Club isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   King_Kong_Escapes isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Shattered_Glass_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Hey isLocatedIn _Cinderella!,?a hasGender male
?a isCitizenOf ?c   The_Go-Between_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Dracula_(1979_film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Showgirls isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   The_Sum_of_All_Fears_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Hugo_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   The_Human_Face isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Reign_of_Fire_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Elizabeth_I_(TV_miniseries) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Return_to_Oz isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Dark_of_the_Sun isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Rendition_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   The_Big_Lebowski isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   A_Little_Trip_to_Heaven isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Moses_the_Lawgiver isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Pirates_of_the_Caribbean_(film_series) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Narc_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Lake_Champlain isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Carbonated_Games isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Gendarme_in_New_York isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Basic_Instinct_2 isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Eros_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Stage_Beauty isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   The_Good_Girl isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Chocolat_(2000_film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Investigating_Sex isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   The_Kidnapping_of_the_President isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   200_Motels isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   The_Victors_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Elvis_Has_Left_the_Building isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Escape_from_New_York isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   To_Die_For isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Helen_of_Troy_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Alatriste isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Mulholland_Drive_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Broken_Angel_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Deal_(2008_film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   The_House_of_the_Spirits_(film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Ivanhoe_(1982_film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   A_Midsummer_Night's_Dream_(1999_film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   The_Other_Side_of_the_Wind isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Mrs._Brown isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Penelope_(2006_film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   A_Life_Less_Ordinary isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Guaynabo isLocatedIn _Puerto_Rico,?a hasGender male
?a isCitizenOf ?c   I isLocatedIn _Robot_(film,?a hasGender male
?a isCitizenOf ?c   Around_the_World_in_80_Days_(TV_miniseries) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Impromptu_(1991_film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Treasure_of_the_Four_Crowns isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Gone_(2007_film) isLocatedIn ?c,?a hasGender male
?a isCitizenOf ?c   Theodore_Roosevelt isPoliticianOf _Jr.,?a hasGender male
?a isCitizenOf ?c   Paul_Bohannan livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Jan_Burgers livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Chia-Chiao_Lin livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Swapan_Chattopadhyay livesIn ?c,?a hasGender male
?a isCitizenOf ?c   J._B._S._Haldane livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Gian-Carlo_Rota livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Frank_Anscombe livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Alexander_Mack livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Abraham_Pais livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Arnold_Klebs livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Eberhard_Hopf livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Pehr_Victor_Edman livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Alexander_Oppenheim livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Li_Fang-Kuei livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Brian_Mulroney livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Dirk_Jan_Struik livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Keith_J._Laidler livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Nathan_Rosen livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Ralph_Kronig livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Rudolf_Jaenisch livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Raoul_Bott livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Per_Bak livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Severo_Ochoa livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Dimitri_Nanopoulos livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Alan_Sokal livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Paul_ErdQs livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Rade_`erbed~ija livesIn ?c,?a hasGender male
?a isCitizenOf ?c   John_Harsanyi livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Pierre_Colas livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Roland_Emmerich livesIn ?c,?a hasGender male
?a isCitizenOf ?c   C._R._Rao livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Har_Gobind_Khorana livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Jonathan_Rhys_Meyers livesIn ?c,?a hasGender male
?a isCitizenOf ?c   J._H._C._Whitehead livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Arif_Zaman livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Albert_Jacquard livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Ernest_Everett_Just livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Richard_Brauer livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Fan_Chung livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Peter_van_de_Kamp livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Szolem_Mandelbrojt livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Leopold_Infeld livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Emil_Wolf livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Mark_Oliphant livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Jesse_R._Pitts livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Ryszard_Syski livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Ivo_Banac livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Victor_Weisskopf livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Pantur_Silaban livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Stephen_Kuffler livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Saleem_Ali_(academic) livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Stanley_Jeyaraja_Tambiah livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Charles_K._Kao livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Paris_Kanellakis livesIn ?c,?a hasGender male
?a isCitizenOf ?c   Nepal dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Belgium dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Jordan dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Vietnam dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Niger dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Lebanon dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Belize dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Oman dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   New_Zealand dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Slovakia dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Liberia dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Republic_of_the_Congo dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Libya dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Denmark dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Afghanistan dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Australia dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   El_Salvador dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   South_Korea dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Honduras dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Singapore dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Sweden dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Japan dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Guyana dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Equatorial_Guinea dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Guatemala dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Sri_Lanka dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Czech_Republic dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Hungary dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Netherlands dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Iraq dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Malta dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Sierra_Leone dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Cameroon dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Dominican_Republic dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Algeria dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Egypt dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Indonesia dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Tunisia dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Madagascar dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Israel dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Burundi dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Quebec dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Qatar dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Ivory_Coast dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Armenia dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Turkey dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Saudi_Arabia dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Finland dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Mongolia dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Bangladesh dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Peru dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Costa_Rica dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   India dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Brazil dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Nigeria dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Georgia_(country) dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Mauritania dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Colombia dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Norway dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Azerbaijan dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   South_Africa dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Portugal dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Suriname dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Venezuela dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Thailand dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   United_Kingdom dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Gabon dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Paraguay dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Cambodia dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Austria dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Maldives dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Mozambique dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Panama dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Pakistan dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Malaysia dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Iceland dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Guinea-Bissau dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Haiti dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Hong_Kong dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Grenada dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Republic_of_Ireland dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   United_Arab_Emirates dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Puerto_Rico dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Macau dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Rwanda dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Nicaragua dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Switzerland dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Morocco dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Benin dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Jamaica dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Philippines dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Scotland dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   China dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Angola dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Papua_New_Guinea dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Barbados dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Cape_Verde dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Bahrain dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Germany dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Canada dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Chile dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Uruguay dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   The_Bahamas dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Ethiopia dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Cuba dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Kuwait dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Bolivia dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Wales dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Mauritius dealsWith ?c,?a hasGender male
?a isCitizenOf ?c   Barack_Obama isLeaderOf ?c,?a hasGender male
?a isCitizenOf ?c   Battle_of_Vella_Gulf happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Attack_on_Broome happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Battle_of_the_Visayas happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Allied_invasion_of_Italy happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Battle_of_Leyte happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Second_Sino-Japanese_War happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Ruhr_Pocket happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Liberation_of_Paris happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Battle_of_Leyte_Gulf happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Battle_for_Brest happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Siege_of_Pensacola happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Second_Battle_of_the_Marne happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Battle_of_Inchon happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Battle_of_Heartbreak_Ridge happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Battle_of_Tassafaronga happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Burma_Campaign happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Battle_of_the_Coral_Sea happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Battle_of_Okinawa happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Guadalcanal_Campaign happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Battle_for_Caen happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Aleutian_Islands_Campaign happenedIn ?c,?a hasGender male
?a isCitizenOf ?c   Operation_K happenedIn ?c,?a hasGender male
?a created ?c   ?c isLocatedIn United_States,?a hasGender male
?a created ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_American_films,?a hasGender male
?a created ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_English-language_films,?a hasGender male
?a created ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_movie_106613686,?a hasGender male
?a influences ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_person_100007846,?a hasGender male
?a influences ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Living_people,?a hasGender male
?a isPoliticianOf ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Countries_in_Europe,?a hasGender male
?a isPoliticianOf ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_country_108544813,?a hasGender male
?a isPoliticianOf ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Member_states_of_the_Union_for_the_Mediterranean,?a hasGender male
?a isPoliticianOf ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Member_states_of_the_United_Nations,?a hasGender male
?a isPoliticianOf ?c   ?c isLocatedIn Europe,?a hasGender male
?a isPoliticianOf ?c   ?c participatedIn Kosovo_War,?a hasGender male
?a isPoliticianOf ?c   ?c participatedIn NATO_bombing_of_Yugoslavia,?a hasGender male
?a isPoliticianOf ?c   ?c participatedIn Operation_Enduring_Freedom,?a hasGender male
?a isPoliticianOf ?c   ?c participatedIn Unified_Task_Force,?a hasGender male
?a isPoliticianOf ?c   ?c participatedIn Operation_Deliberate_Force,?a hasGender male
?a isPoliticianOf ?c   ?c participatedIn War_on_Terror,?a hasGender male
?a isPoliticianOf ?c   ?c participatedIn Korean_War,?a hasGender male
?a isPoliticianOf ?c   ?c participatedIn International_Force_for_East_Timor,?a hasGender male
?a isPoliticianOf ?c   ?c dealsWith China,?a hasGender male
?a isPoliticianOf ?c   ?c dealsWith Germany,?a hasGender male
?a isPoliticianOf ?c   ?c dealsWith United_States,?a hasGender male
?a isPoliticianOf ?c   ?c imports wordnet_chemical_114806838,?a hasGender male
?a isPoliticianOf ?c   Little_Vietnam isLocatedIn ?c,?a hasGender male
?a isMarriedTo ?c   ?c hasGender female,?a hasGender male
?a livesIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_country_108544813,?a hasGender male
?a directed ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_American_films,?a hasGender male
?a directed ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_English-language_films,?a hasGender male
?a directed ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_movie_106613686,?a hasGender male
?a directed ?c   ?c isLocatedIn United_States,?a hasGender male
?a isAffiliatedTo ?c   ?c isLocatedIn California,?a hasGender male
?a isAffiliatedTo ?c   ?c isLocatedIn Washington,?a hasGender male
?a isAffiliatedTo ?c   ?c isLocatedIn Moscow,?a hasGender male
?a isAffiliatedTo ?c   ?c isLocatedIn United_States,?a hasGender male
?a isAffiliatedTo ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_university_108286569,?a hasGender male
?a isAffiliatedTo ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_party_108256968,?a hasGender male
?a isAffiliatedTo ?c   ?c hasWonPrize Silbernes_Lorbeerblatt,?a hasGender male
?a isAffiliatedTo ?c   Alex_Brosque playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Levan_Tskitishvili playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Charles_Gbeke playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Marcel_Maltritz playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Matthias_Stammann playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Jeff_Parke playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Niclas_Kindvall playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Bruce_Edwards_Ivins playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Bruce_Djite playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Andrew_Gregor playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Felicio_Brown_Forbes playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Peter_Vagenas playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Henry_of_Castile_the_Senator playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Alla_Vazhenina playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Valeriya_Korotenko playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Benjamin_Siegert playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Mathew_Leckie playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Simon_Thomas_(soccer) playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Zafer_Yelen playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Stephen_R._Bradley playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Vladimir_Firm playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Fagner_Conserva_Lemos playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Vyacheslav_Hleb playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   David_Tarka playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Michael_Curcija playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Timm_Klose playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Nikita_Rukavytsya playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Kevin_Harmse playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Kevin_Maek playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Clint_Bolton playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Robbie_Kruse playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Tayt_Ianni playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Daniel_Schumann playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Mike_Lapper playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Alexander_Laas playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Charles_Akonnor playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Peter_Geyer playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Kai-Fabian_Schulz playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Emil_Noll playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Zach_Wells playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Willy_Giesemann playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Eli_Babalj playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Babacar_Gueye playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Marc_Stein_(footballer) playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Chad_Barrett playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Winston_Griffiths_(soccer) playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Chris_Franks_(soccer) playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Matt_Taylor_(American_soccer) playsFor ?c,?a hasGender male
?a isAffiliatedTo ?c   Uwe_Hain playsFor ?c,?a hasGender male
